,書名,類別,字數,大綱,狀態,評分
3882,最終兵器彼女,科幻 戰爭,5.3萬,嬌小可憐毫不起眼的高三女孩千瀨和不愛表達自己但內心善良的修次是北海道小樽高中的同班同學。一天千瀨終於鼓足勇氣向修次表...,完結,9.7
3883,銀河英雄傳說,科幻 機戰 戰爭,157.1萬,浩瀚無垠的宇宙、不停前進的人類、永無休止的爭鬥。不管是以往的歷史，或未來的展望，是已知，是空想，只有一件事實存在──「...,完結,9.9
3884,聽到濤聲,青春 戀愛,18.3萬,如果好友松野當初沒將她介紹給我認識，要是沒和她一塊去東京，還莫名其妙同住一個房間，成為同學間的八卦對象，我和武藤里伽...,完結,9.9
3885,水夏,青春 戀愛 後宮,8.4萬,被海和山所圍繞的常磐村 常磐——這個被賦予了「永遠不變」的名字的村莊，就這樣迎來了夏天 喜愛漫畫的巫女 樂天派的前輩 ...,完結,9.9
3886,魔法少女奈葉,奇幻 魔法 冒險 戰鬥,7.3萬,平凡的小學三年生高町奈葉，發現從異世界米得基魯達來的尤諾·斯克萊亞受傷而倒下。他來到這個世界的理由。那因為是他挖掘到太...,完結,10
3887,羅德斯島傳說,奇幻 戰爭,61.1萬,由英雄戰爭回溯至三十年前，被詛咒之島羅德斯，遭遇了前所未有的危機。 羅德斯島西南方的摩斯地帶，魔神的大軍突然出現在矮...,完結,9.7
3888,殼中少女,科幻 異能 戰鬥 冒險 懸疑 黑暗,42.4萬,為什麼是我？──在賭博師榭爾的殘忍設計下，雛妓芭洛特被爆炸火焰所吞蝕。垂死的她被鼠型萬能武器烏夫庫克所拯救，也因此得到...,完結,10
3889,絞纈城綺譚,犯罪 懸疑 戰鬥,9.7萬,大唐帝國的繁盛時期，居然有人在首都長安公然販賣以人血染成的紅布！偶然從圓仁大師那裡得知這件罪惡內幕的辛讜、李延樞兩人...,完結,9.9
3890,甲賀忍法帖,奇幻 異能 戰鬥 大逃殺,15.4萬,受家康密令，甲賀、伊賀精銳忍者各十名，為了德川家第三代將軍的繼位問題彼此爭戰。方自四百年禁制解放出來的甲賀、伊賀忍者...,完結,9.8
3891,歡迎加入NHK！,青春 戀愛 宅文化 JK,11.7萬,我發現了。我之所以大學中輟、找不到工作、又變成現在最流行的家裡蹲，一切都是邪惡組織NHK搞的鬼！……但就算是這樣也改變不了...,完結,10
3892,紅塵,戰爭,11萬,十二世紀中葉的中國，宋朝敗給了由北方興起的女真族所建立的金國，喪失了淮河以北的廣大士地。發動政變奪權的金國皇帝。完顏...,完結,10
3893,海嘯,戰爭,13.5萬,江南繁盛一時的大宋帝國，被宛如怒濤般的鐵蹄聲逐漸逼近。在忽必烈的一聲號令下，鐵騎糾糾跨過長江，如同鐵血的海嘯，似要吞...,完結,9.7
3894,DoubleDown 以小博大的勘繰郎,懸疑 鬥智 女性視角,7.3萬,在京都的河原町御池十字路口。在這裡，蘿蔔睦美偶然相識了虛野勘繰郎，他是一個以偵探為志願的奇妙少年。他正拿著望遠鏡專心...,完結,9.9
3895,創龍傳,奇幻 異能 冒險 戰鬥,160.4萬,經過三千年的沈睡、一百一十七代的轉世，正逢二十世紀告終的時刻，惡魔的手向龍堂家四兄弟逼近。龍堂家的四兄弟，一眼看去都...,完結,9.9
3896,穿越時空的少女,校園 穿越 科幻 青春 戀愛,3.4萬,放學後，理科實驗室里響起一聲玻璃碎掉的聲音。破碎試管里流出的液體，正微微冒著白氣，散發出薰衣草的甜香。 正在打掃實驗...,完結,10
3897,鴨川小鬼,校園 青春 奇幻 競技,12.8萬,沒錢沒閑，這是京都大學新生安倍剛入學時的寫照。為了能參加迎新會蹭飯吃，他加入了各種各樣的社團，京大青龍會就是其中一個...,完結,10
3898,黑祠の島,懸疑 驚悚,21.3萬,式部剛——石井調查事務所的偵探，這回要調查的竟是他的工作夥伴——報導文學作家葛木志保的下落。循著答案，式部剛來到了「夜叉...,完結,9.9
3899,夢偵探,科幻 懸疑 冒險,21.8萬,榮獲諾貝爾獎提名的「美女精神治療師千葉敦子」與「天才科學家時田浩作」一起研發出「PT儀」和PT儀的攜帶版迷你DC，千葉敦子...,完結,10
3900,如果杜拉,校園 青春 競技 經營 ,9.9萬,這是一部講述能幹的經理和棒球部成員一起向著甲子園奮鬥的青春小說。 高中棒球部的女經理南為了做好經理這項工作，在書店購...,完結,9.9
3901,太陽の塔,青春 歡樂向 宅文化,9.6萬,京大生（京都大學學生）在日本是一個非常特殊的群體，他們深信人的價值出自於內在，外表的皮相只是一時，有打理自己門面的時...,完結,9.9
3902,6TEEN,校園 青春 戀愛 群像,11.6萬,16歲。 我相信我能接受她的一切。 石田衣良直木賞得獎作品《4TEEN十四歲》里的四位主角變成高中生回來了！ 笨拙的戀情，第...,完結,9.5
3903,黑暗の神,奇幻 懸疑 冒險,7.6萬,耕介是小學六年級學生，暑假裡和父親一起到多年沒來往的大姥爺家——一座遙遠山村中的古豪宅，幾個叔叔嬸嬸也帶著各自的孩子來...,完結,9.9
3904,劍道殺人事件,懸疑,14萬,全日本學生劍道大賽會場內，兩名正激烈對峙的選手，其中一名突然姿勢怪異，砰地一聲倒地不起。原來此名選手莫名其妙腹部中了...,完結,9.8
3905,AIR 青空,奇幻 青春 戀愛,71.2萬,國崎往人為了聽從已故母親的遺言，四處旅行目的是為了尋找並解救「天空中的女孩」，途中以用法術表演人偶為生。一天，往人來...,完結,10
3906,「殺人城」系列,懸疑 犯罪 黑暗,58.2萬,世界毀滅的剎那，你會和誰人同生共死？「那一刻」悄悄降臨的瞬間，倘若你忽然明白了誰是你最該守護的人……為了那個人，你，會...,完結,9.4
3907,溫柔的12人殺人屋－ZODIAC STOR...,懸疑 冒險 戰鬥 ,20.9萬,BL向漫畫溫情殺手十二宮小說,完結,8.9
3908,告白,校園 青春 懸疑 犯罪 復仇 黑暗,8.7萬,森口是日本一所中學的教師，她經常將四歲的女兒愛美帶到學校照看。一天，愛美被發現死在校游泳池內，全校嘩然。痛失愛女的森...,完結,10
3909,算計,懸疑 犯罪 遊戲 大逃殺 驚悚,22.1萬,雖然覺得這個打工徵人的廣告很詭異，但想買車的窮大學生結城理久彥，跟全身名牌、但好像也很缺錢的富家小姐須和名祥子，還是...,完結,9.7
3910,龍の默示錄,職場 奇幻 懸疑,17.4萬,遭到保險公司解僱、待業中的柚木透子，經人介紹之下得到了秘書的工作，僱主之名為龍緋比古，從事美術評論和翻譯工作，在奇幻...,完結,9.9
3911,三個歐吉桑,懸疑 歡樂向,18.4萬,清田家開著一間以中小學生為對象的劍道教室，清田老爺子故去後，兒子清一便繼承了下來。 老爺子還在的時候，清一雖然以代師...,完結,10
3912,Angel Beats! -Track Zero-,奇幻 青春 戰鬥 戀愛 末日,9.3萬,AngelBeats!前傳小說《AngelBeats!-TrackZERO-》，收錄了第1話《兩人的火箭》、第2話《NavyBlue》、第3話《崩潰》、第4話《CO...,完結,10
3913,你們與虛人在星上共舞,科幻 戰爭 機戰,9.6萬,你知道世界是用什麼做成的嗎？你以為是用常識與巧合重疊在一起形成的嗎？可是，我所在的世界並非如此。這裡是由有史以來最強...,完結,9.6
3914,殘酷的處刑史,驚悚 黑暗,13.4萬,處刑台帶給人的刻板印象已經根深蒂固，但是死在處刑台上的眾多生命，並非全都是罪有應得，並非所有遭到處決的人，都犯下了不...,完結,10
3915,尋狗事務所,懸疑 青春,17.2萬,本來我想要開的是一家賣什錦煎餅的店，可以搞到最後，卻變成開了一間「紺屋S&R」事務所，本事務所的業務項目只有一項——就是幫...,完結,9.9
3916,模仿犯,懸疑 犯罪 黑暗,89.5萬,一位姑娘消失了，不久有人發現了被砍斷的右手，案件就這樣拉開了序幕……在東京郊區一直經營豆腐店的有馬義男的外孫女古川鞠子...,完結,10
3917,本格萌童話,歡樂向,10.2萬,屢遭暗算也不改其脫線個性的天然呆女孩——白雪公主 變身就會成為美少女的眼鏡娘——灰姑娘 只因為長相醜陋就丟掉性命的可憐人—...,完結,9.5
3918,犬夜叉官方小說,穿越 奇幻 冒險 戰鬥 戀愛,7.9萬,在妖怪跋扈橫行的戰國亂世中，從現代穿越時空的少女阿籬，遇上了希望能徹底成為妖怪、被封印的半腰少年犬夜叉！ 本書收錄了2...,完結,9.8
3919,機動戰士高達SEED,科幻 機戰 戰爭,66.1萬,C.E.（宇宙紀元）30年代，基因工程的風潮發展到了最巔峰，人類因此製造出新的對立架構。在受精卵階段便接受基因調整而出生，...,完結,9.8
3920,機動戰士高達SEED DESTINY,科幻 機戰 戰爭,76萬,傷痛尚未平息，新的戰火又開始點燃！ CE73年，扎伏特軍與地球聯合軍停戰的兩年之後――阿斯蘭與卡嘉利一同造訪中立地帶L4的殖...,完結,10
3921,機動戰士高達SEED ASTRAY,科幻 機戰 戰爭,16.8萬,高達SEED外傳官方小說,完結,10
3922,黑執事官方小說,奇幻 懸疑 ,12.3萬,漫畫版作者樞梁力薦佳作！動畫版同步發售！熱評如潮不可錯過！ 年僅12歲的夏爾，不僅擁有伯爵身份，而且還是女王陛下的御用...,連載,9.2
3923,奇幻貴公子,奇幻 懸疑 冒險 驚悚 女性視角,85.5萬,谷山麻衣是個能在睡夢中預言或感應許多難以理解的事情的少女，她參加了學校一個社團－SPR－專門接手調查和靈異現象有關的案件...,完結,9.8
3924,掌心迷路,懸疑 青春,8.3萬,石田衣良極短篇集 據說，每個人掌心的紋路都是獨一無二的，象徵著一個人走過的過去和未來。 閱讀著石田衣良的極短篇小說，...,完結,9.4
3925,四疊半神話大系,科幻 校園 青春 戀愛 歡樂向,15.7萬,故事以京都大學的某個三年級男生為主人公，從四個平行世界的角度，描寫當初在一年級的時候選擇了不同的社團的他，這三年來的...,完結,10
3926,摩天樓的怪人,懸疑,30.3萬,一個暴風雨之夜，知名演藝公司老闆齊格飛被人近距離槍殺於紐約摩天樓的一樓辦公室！其中嫌疑最大的，就是與齊格飛關係密切的...,完結,10
3927,機動戰士高達0080 口袋中的戰爭,科幻 機戰 戰爭,9.3萬,U.C.0079年12月，由吉恩公國挑起的一年戰爭已進入最後的階段，人們都已看到吉恩的日漸式微，也盼望著和談的早日到來。然而，...,完結,10
3928,人間失格,青春 黑暗,6.1萬,《人間失格》發表於1948年，是一部自傳體的小說，纖細的自傳體中透露出極致的頹廢，毀滅式的絕筆之作。太宰治巧妙地將自己的...,完結,9.6
3929,Tales of Destiny 命運傳奇2 蒼...,奇幻 冒險 戰鬥 戀愛,17.2萬,與凱伊路雙親有著深厚淵源的裘達斯（里歐‧罵格那斯），多次拯救了凱伊路等人於危機之中。在《命運傳奇2》外傳系列最終卷里，...,完結,9.8
3930,遙遠時空3,穿越 奇幻 戰鬥 戀愛 青梅竹馬 女性視角,71萬,(遊戲線程劇情) 本作與前兩代不同，不再只是借用平安時代的背景所創造出的模糊時段，而是明確的借用了源氏與平家戰爭這一明...,完結,9.7
3931,SHUFFLE!,校園 奇幻 歡樂向 後宮 青梅竹馬 人外,16.9萬,(遊戲線程劇情純愛版) 神族、魔族、人類，三個不同的種族和世界，有一天通過一扇「門」聯結了起來，從此三個種族生活在了一...,完結,10
3932,絡新婦の理,奇幻 懸疑,56.6萬,貴族女校里身負蜘蛛的黑聖母，在月圓之夜聆聽咒殺的願望； 豪富家族世代居住在蜘蛛網公館裡，家族繼承人接連死於非命； 轟...,完結,9.4
3933,叛逆的魯路修外傳,校園 青春 歡樂向,13.4萬,位於東京租界內的阿什弗德學園，從創立以來便對不列顛尼亞人、榮譽不列顛尼亞人及日本人一視同仁地加以接納，創造出了獨特的...,完結,10
3934,暗黑童話,奇幻 懸疑 黑暗,14.6萬,因為一場意外失去左眼的高二女孩菜深，也同時喪失了記憶。 在接受眼球移植手術之後，她的左眼竟開始頻繁出現另一個男孩的過...,完結,10
3935,戰國婆娑羅,戰爭,26.8萬,《戰國無雙》、《信長之野望》等諸多熱門遊戲的背景導玩小說！ 多達十個優秀短篇25萬字的超級收藏品！ 日本最有名的熱門戰...,完結,10
3936,情歸故里,青春 戀愛 後宮 青梅竹馬,92萬,(遊戲劇情線程純愛版) 故事發生在一座名為「姬神島」的偏僻小島上。在島上出生的主人公，在很小的時候就因母親過世而與父親...,完結,10
3937,月姬,奇幻 戰鬥 魔法 戀愛 後宮,139.5萬,(遊戲劇情線程純愛版) 主人公遠野志貴在八年前的意外中，獲得了可殺死事物的「直死之魔眼」。由於對自己的新能力的恐懼，他...,完結,9.6
3938,夏日大作戰,科幻 青春 戀愛,13.6萬,「拜託你，假裝當我的未婚夫四天吧！」 小磯健二受到心儀的學姊筱原夏希拜託，與她一起前往長野縣的鄉村小鎮。 企圖努力達...,完結,10
3939,重力小丑,懸疑 青春,19.2萬,一連串動機不明的縱火案、火場附近不約而同出現的塗鴉藝術，兩者有何關聯？謎樣的塗鴉留言，隱藏著什麼樣的犯罪設計？是誰主...,完結,10
3940,空の軌跡劇情小說,科幻 冒險 戰鬥,80.4萬,新的時代，人們生活是靠一種叫做導力器的技術所支撐著。50年前，導力革命所帶來的導力器，被應用於以飛船為首的各種各樣技術...,完結,10
3941,GTO麻辣教師,校園 青春 戀愛 歡樂向 JC,29.9萬,地球上一所最爛的學校一群最COOL的學生一個最「麻辣」的老師上演一番最搞笑最驚心最浪漫的離奇故事。曾是暴走族的鬼冢英吉選...,完結,9.9
3942,在遙遠彼方的小千,校園 奇幻 青春 戀愛,9.1萬,一直以為，我是小千在這世上唯一的牽絆，是她最真心的朋友。 但後來才發現、沒有她，我的世界、我的靈魂、我的生活、我的平...,完結,10
3943,倘若我在彼岸,青春 戀愛,9.7萬,本書由三個看似獨立實則相通的凄美的愛情故事組成。 主人公是老師，都喜歡某種運動，他們都曾親身經歷過或目睹過接近死神的...,完結,10
3944,我的男人,懸疑 黑暗,18.1萬,優雅卻總帶著落魄寒酸的腐野淳悟，在二十五歲的年輕時期，收養了在九歲時因震災失去家人而成為孤兒的我——小花。 越過漆黑如...,完結,10
